Grant Title,Agency,Category,Short Summary,URL,Posted Date,Deadline,Days Left,Last Seen,Source,_id
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/c7f58c02-c805-4434-947e-3e28acfc93eb,2018-03-29,2025-03-10,,2025-10-12,simpler.grants.gov,079dcc295ea19486
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/dd4bf75c-5d20-4d9f-b1db-51e395e6949c,2025-06-10,2025-03-10,,2025-10-12,simpler.grants.gov,08075c88384b0a6e
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/264249e6-fdbb-4b1c-ac90-23b7d9b07b1b,2025-08-22,2025-03-10,,2025-10-12,simpler.grants.gov,08143c333432b6e1
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/5b441628-d177-4d99-920d-70c016da6fb9,2025-08-22,2025-03-10,,2025-10-12,simpler.grants.gov,0819003ed59b7c79
,Department of Education,,Description,https://simpler.grants.gov/opportunity/35a70bbe-61da-4013-8d8c-8abae8861593,2025-09-29,2025-03-10,,2025-10-12,simpler.grants.gov,0829d744e80c351e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e7024948-860d-4a17-a1de-4368ddc4ffe7,2024-10-17,2025-03-10,,2025-10-12,simpler.grants.gov,086f841159e001c2
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1351fb75-f66d-4304-80cb-864a04f7bea9,2024-12-31,2025-03-10,,2025-10-12,simpler.grants.gov,089bb478bed1e59e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c90e6bed-be52-4d95-9383-bcd86e82dccc,2025-09-24,2025-03-10,,2025-10-12,simpler.grants.gov,08cbc98cd9171a9f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1ddea6e1-5241-4cb4-819a-a3c6f7f9510e,2024-11-26,2025-03-10,,2025-10-12,simpler.grants.gov,08f26ef7c8b68a75
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/da13f6fa-c132-4963-9339-3c75046c75e8,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,09147afd82e02502
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4941baf4-d478-46ed-a4b6-9e50e42502d5,2024-10-15,2025-03-10,,2025-10-12,simpler.grants.gov,09182cc3993f478c
,Substance Abuse and Mental Health Services Adminis,,Description,https://simpler.grants.gov/opportunity/a24f70d9-13fb-4759-9085-6b97510ea6b2,2024-08-07,2025-03-10,,2025-10-12,simpler.grants.gov,0918b3609e2a4ef6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d91c6831-95b8-4598-90e1-255b03260d44,2025-01-10,2025-03-10,,2025-10-12,simpler.grants.gov,0922f6b9d1069e0c
,U.S. Mission to Indonesia,,Description,https://simpler.grants.gov/opportunity/c4d6edce-d599-44ed-9ea5-caa1de72ca55,2018-04-18,2025-03-10,,2025-10-12,simpler.grants.gov,09c6bcd80e4d3c46
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/da09ffaf-64f8-4fa6-bc67-a10fbf7435fb,2023-01-26,2025-03-10,,2025-10-12,simpler.grants.gov,0a288ae89c129ad3
,Dept. of the Army -- USAMRAA,,Description,https://simpler.grants.gov/opportunity/a00f1e62-7f9b-4e3e-af77-434ae16287fd,2025-06-04,2025-03-10,,2025-10-12,simpler.grants.gov,0a3ca6e66e737df4
,National Endowment for the Humanities,,Description,https://simpler.grants.gov/opportunity/108a031b-156d-4bb5-acac-267ece2ca7d9,2025-09-22,2025-03-10,,2025-10-12,simpler.grants.gov,0a7fd80f2ebbf312
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/c607521d-cb85-4b5d-a17b-cdea7c6ca22b,2023-07-18,2025-03-10,,2025-10-12,simpler.grants.gov,0a80f009c93535be
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9f06c317-b398-4482-89b1-57bcf35363f3,2025-06-11,2025-03-10,,2025-10-12,simpler.grants.gov,0abeed9e18953cf0
,Air Force Office of Scientific Research,,Description,https://simpler.grants.gov/opportunity/77242ec4-56ad-4784-84ca-066b30d01fae,2022-05-17,2025-03-10,,2025-10-12,simpler.grants.gov,0af6e12728978786
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/72e1732b-ce47-49a4-98c0-8c04576cceff,2023-11-24,2025-03-10,,2025-10-12,simpler.grants.gov,0b1057ae2dfaf534
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/22ad92e4-1029-4431-bba7-837fa7cf4352,2024-03-23,2025-03-10,,2025-10-12,simpler.grants.gov,0b1833a9c2ef0633
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d1dcbc06-2a65-443a-8038-bfe7a1301fc2,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,0b1af63cd90a79bb
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/eb435a48-9193-4424-bbe9-6ab11e6683ee,2024-10-31,2025-03-10,,2025-10-12,simpler.grants.gov,0b25b9dbd0eb2a74
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/3664b7cc-4939-4406-b47f-fb9fcdba0d28,2025-01-08,2025-03-10,,2025-10-12,simpler.grants.gov,0baf7d285e9d02c6
,Veterans Employment and Training Service,,Description,https://simpler.grants.gov/opportunity/d3833aae-4c7a-4fcd-b92d-9bf547495a3b,2025-07-28,2025-03-10,,2025-10-12,simpler.grants.gov,0bbc4c8251646be3
,Dept. of the Army -- USAMRAA,,Description,https://simpler.grants.gov/opportunity/d105798f-211e-41bd-9361-46a7f634ea96,2023-07-27,2025-03-10,,2025-10-12,simpler.grants.gov,0bc0f494e5fcbcb8
,Health Resources and Services Administration,,Description,https://simpler.grants.gov/opportunity/9e1604ff-bc83-47be-a31f-ece43109059f,2025-10-02,2025-03-10,,2025-10-12,simpler.grants.gov,0bd267a689c5ea82
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/950bfc05-f22c-4e7b-aed3-1d65fd6a95ef,2025-09-22,2025-03-10,,2025-10-12,simpler.grants.gov,0c180ce8c24c58c1
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ce9ad2a9-dc4a-4754-bc69-d137a4b9ed57,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,0c759ce9473f3533
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/24a79fb8-00ef-4e9f-a8d8-b08fe1f3dd2f,2025-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,0cd6d9c21634a06c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ee37f2de-b959-4b45-86a9-43d06c944f24,2025-06-18,2025-03-10,,2025-10-12,simpler.grants.gov,0cdbf83cb6e4468c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ebcdd90d-a5bf-4e20-a546-fcfe230b7405,2023-05-26,2025-03-10,,2025-10-12,simpler.grants.gov,0d066f79bea2b041
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/2b92c566-35b9-4cee-a588-a878f90be222,2022-07-06,2025-03-10,,2025-10-12,simpler.grants.gov,0d0883659c845877
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/860d4e48-5298-4caf-bada-905645586fe4,2023-11-08,2025-03-10,,2025-10-12,simpler.grants.gov,0d539a694b7b1ada
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e41607e1-14ca-4bfe-8806-ecb1b0e23884,2025-01-03,2025-03-10,,2025-10-12,simpler.grants.gov,0db20f7f62c615bd
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/56e4c5bf-fe1e-4ae1-905b-93a9b53cd8d3,2020-02-12,2025-03-10,,2025-10-12,simpler.grants.gov,0db793230fc86852
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f9773551-0c3a-42c7-b88e-fde3811fdb19,2024-12-09,2025-03-10,,2025-10-12,simpler.grants.gov,0dcd2c11a8320d96
,DOT - FAA Aviation Research Grants,,Description,https://simpler.grants.gov/opportunity/721d5c2c-af72-4c33-8ce6-013b1e8ad59b,2020-09-08,2025-03-10,,2025-10-12,simpler.grants.gov,0e06deb04fb472b0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/24a2e68b-9105-4fc8-8432-7ddff3e3afb8,2024-11-06,2025-03-10,,2025-10-12,simpler.grants.gov,0e120d4775644ff7
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9e953145-2d4f-4d9e-a0dc-1d175f66e5c3,2023-10-04,2025-03-10,,2025-10-12,simpler.grants.gov,0e355fec3ba8dfed
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/de7d61a1-0bcd-4983-a87e-eb5be4860516,2025-06-30,2025-03-10,,2025-10-12,simpler.grants.gov,0e4c389ffcf0a1c6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c01ad57e-de58-4431-a31c-5762fb49578a,2024-12-02,2025-03-10,,2025-10-12,simpler.grants.gov,0e650e4cfd76121d
,Dept. of the Army -- USAMRAA,,Description,https://simpler.grants.gov/opportunity/d4999547-c9a4-4812-9535-0d8d88fc4803,2022-09-22,2025-03-10,,2025-10-12,simpler.grants.gov,0e79f9c7a5445b80
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e749b186-9043-4eb2-9288-4833ede537f7,2025-05-28,2025-03-10,,2025-10-12,simpler.grants.gov,0ec1f120de1a6a9d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/92fe438d-91dc-4ce2-9a45-edc615c4d0b6,2025-05-09,2025-03-10,,2025-10-12,simpler.grants.gov,0eeada70613ef0ce
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/be7ad44e-fbed-483b-85a7-7a1ab154910e,2025-07-17,2025-03-10,,2025-10-12,simpler.grants.gov,0f6109d822a64027
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/311a7cd4-b9d8-426d-afcc-37f484a88d6c,2023-06-18,2025-03-10,,2025-10-12,simpler.grants.gov,0f8ed1d06be27a47
,U.S. Mission to Albania,,Description,https://simpler.grants.gov/opportunity/889bb2c2-a754-41fb-a6bf-c671c4da659d,2024-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,0fb899458d7940d2
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c07f155d-72a8-4b5b-9c1f-48e1ce9ec81f,2024-02-02,2025-03-10,,2025-10-12,simpler.grants.gov,0fd005512261edf4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/993f0ec4-90b7-44a4-8f9d-99787e74612f,2024-12-09,2025-03-10,,2025-10-12,simpler.grants.gov,0fe85651f025359f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6552e00b-8e51-4278-ab04-b6e3765a88a0,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,1027bbffcf4d1e3f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/de984d54-e7f4-4da6-a553-8509070c43f9,2024-11-12,2025-03-10,,2025-10-12,simpler.grants.gov,1059e30db5f11f9a
,Construction of State Home Facilities,,Description,https://simpler.grants.gov/opportunity/59462b36-6d05-4832-a628-427f72260f3d,2010-11-01,2025-03-10,,2025-10-12,simpler.grants.gov,106cc29632584383
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/331fb554-ad2f-47e1-829d-9411088ff208,2025-01-06,2025-03-10,,2025-10-12,simpler.grants.gov,1075398e36007f6e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/43b3833e-1f05-41d1-86d3-55fedc41ceb8,2025-06-13,2025-03-10,,2025-10-12,simpler.grants.gov,10a2057f46535b2f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e05c81f6-a9b8-456e-961e-8f400f854613,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,10db2d3d71cdba3b
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/079d6d64-51fd-4736-aa43-4a3a37d35396,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,10eca00e2b273f93
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ff549a86-4282-455d-8b19-11a34adcf764,2025-06-27,2025-03-10,,2025-10-12,simpler.grants.gov,10f2d251793a659e
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/b98b4ea9-09fc-4fc2-80b8-1ebf672d1f13,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,112fbf3f79b0fa98
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b235095c-ec8a-442a-a426-bcf8219c64b0,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,11c08e24eb52f69a
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/ac8b189e-988c-4dc5-a0cb-1dd7633bd640,2025-06-25,2025-03-10,,2025-10-12,simpler.grants.gov,11c4f19a1c109881
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/63c033fb-622e-4b69-a473-fc8231b16f5c,2024-12-09,2025-03-10,,2025-10-12,simpler.grants.gov,122018b6a7021bf1
,Washington Headquarters Services,,Description,https://simpler.grants.gov/opportunity/52f11090-a54a-4d78-bb43-0b4f1ef74882,2023-08-08,2025-03-10,,2025-10-12,simpler.grants.gov,126ed7ec8604e199
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9a21b9d6-2a96-490b-9cb6-204f1d3cb53f,2024-12-30,2025-03-10,,2025-10-12,simpler.grants.gov,1290c8ebbe00d775
,Office to Monitor-Combat Trafficking in Persons,,Description,https://simpler.grants.gov/opportunity/a89aee06-1920-406b-89e3-0ec7d640af04,2099-01-01,2025-03-10,,2025-10-12,simpler.grants.gov,12f5b483cda505f2
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/12d37e89-ae40-43a9-8f29-59e3347676ae,2024-04-18,2025-03-10,,2025-10-12,simpler.grants.gov,132592bd871002e8
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d75201a7-bce7-44f9-b16a-4aa957fd68d7,2024-04-25,2025-03-10,,2025-10-12,simpler.grants.gov,134d90e036b0007c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/71f5944d-49d5-42ec-b3fb-d35a9af3e7f6,2024-04-24,2025-03-10,,2025-10-12,simpler.grants.gov,1357f0048c5e3344
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/c59e6081-9fb7-46fa-9164-6911d790d242,2023-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,13656b44f6a76393
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a760bf80-264f-4113-95fd-ac4a77c24408,2024-11-21,2025-03-10,,2025-10-12,simpler.grants.gov,13acd2e75d6f5b8b
,NASA Headquarters,,Description,https://simpler.grants.gov/opportunity/89903522-f42f-423f-b208-00d6760a9e07,2025-09-10,2025-10-03,,2025-10-12,simpler.grants.gov,13c682f0013b283d
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/4b274a2d-11c3-4ebb-98a5-809bb884b381,2025-09-26,2025-03-10,,2025-10-12,simpler.grants.gov,13ca0b8e4ff9daf5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/99cd70d1-05f4-49dc-b577-eaba13ac8b18,2024-12-02,2025-03-10,,2025-10-12,simpler.grants.gov,1419937c36c3e284
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/02a98408-7642-4f5e-9573-1e35e7774830,2025-09-17,2025-03-10,,2025-10-12,simpler.grants.gov,141ba3a6d2a22cc5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/588a169a-478d-4554-bbd6-d8e3416000d2,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,1424a57732c07cc0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0cedc129-ba81-465b-949a-d0cef8465c24,2024-11-04,2025-03-10,,2025-10-12,simpler.grants.gov,1440880648bf8294
,National Endowment for the Humanities,,Description,https://simpler.grants.gov/opportunity/7f9a991a-34f6-4a78-9743-9f86600ad361,2025-01-24,2025-03-10,,2025-10-12,simpler.grants.gov,1444c12f955e8736
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4ed18a56-4304-49a2-b9b4-87b4d78eb4f1,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,144894e08226200c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/dab12ed3-a896-4907-ab71-3436214fdc13,2025-09-18,2025-03-10,,2025-10-12,simpler.grants.gov,144fa49a05f28030
